id,hierarchy,galil,kahal,name,settlement_type,pop,year,region,modern_name,viv,pow,geocode,lat,lon,kahal_id,subunit
142,,Rus,Miastkowka,Żabokrzycz,village,41,1765,BRT,Zhabokrych,Bracław,Bracław,BRC_MIASTKOWKA,48.38498618,28.99909973,291,
143,,Rus,Miastkowka,Lewkow,village,9,1765,BRT,Levkiv,Bracław,Bracław,BRC_MIASTKOWKA,48.43751,29.06444,291,
144,,Rus,Miastkowka,Sokołowka,village,26,1765,BRT,Sokolivka,Bracław,Bracław,BRC_MIASTKOWKA,48.44085,28.99771,291,
145,,Rus,Miastkowka,Szarapanowka,village,28,1765,BRT,Sharapanivka,Bracław,Bracław,BRC_MIASTKOWKA,48.49339,28.88071,291,
146,,Rus,Miastkowka,Czobotarki,village,8,1765,BRT,Zhabokrych,Bracław,Bracław,BRC_MIASTKOWKA,48.38284,29.00683,291,
147,,Rus,Miastkowka,Tarnawka,village,9,1765,BRT,Ternivka,Bracław,Bracław,BRC_MIASTKOWKA,48.39432,28.90156,291,
148,,Rus,Miastkowka,Zielinianka,village,14,1765,BRT,Zelenianka,Bracław,Bracław,BRC_MIASTKOWKA,48.34352,28.87739,291,
149,,Rus,Miastkowka,Characzkowka,village,16,1765,BRT,Hariachkivka,Bracław,Bracław,BRC_MIASTKOWKA,48.32784,28.74849,291,
150,,Rus,Miastkowka,Wysoka Grobla,village,6,1765,BRT,Vysoka Hreblia,Bracław,Bracław,BRC_MIASTKOWKA,48.3966,28.70081,291,
152,1,Rus,Cekinowka,Cekinowka,city,187,1765,BRT,Tsekynivka,Bracław,Bracław,BRC_CEKINOWKA,48.15331,28.31719,292,
153,,Rus,Cekinowka,Kosnica,village,4,1765,BRT,Velyka Kisnytsia,Bracław,Bracław,BRC_CEKINOWKA,48.13539,28.44334,292,
154,,Rus,Cekinowka,Gruszka,village,15,1765,BRT,Hrabarivka,Bracław,Bracław,BRC_CEKINOWKA,48.11224519,28.56754303,292,
155,,Rus,Cekinowka,Tryboszowka,village,12,1765,BRT,Trybusivka,Bracław,Bracław,BRC_CEKINOWKA,48.18642,28.65272,292,
