name,index_sht,prov,prov_no,dist_no,pale,region,no_jew_count,jew_pop,tot_pop,lat,lon,census,full_name,type,jewpop_flag,comments,total,total_flag,prov_name,dist_name
Bolboka,0308Bl1,Bessarabia,3,8,Pale,New Russia,0,89,829,48.36666,27.2,1,Bolboka,selo,,http://ru.wikisource.org/wiki/%D0%A3%D0%BA%D0%B0%D0%B7_%D0%9F%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B8%D1%83%D0%BC%D0%B0_%D0%92%D0%A1_%D0%A1%D0%A1%D0%A1%D0%A0_%D0%BE%D1%82_4.11.1940_%D0%BE%D0%B1_%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BB%D0%B5,829,,Bessarabia,Khotin
Brakha,0308Br1,Bessarabia,3,8,Pale,New Russia,1,,,48.5,26.5,,Brakha,selo,unknown,"Not mentioned in lists of census, found accidently, searching on Wikimapia on the opposite side of the Khotin river coast",,unknown,Bessarabia,Khotin
Brichany,0308Br2,Bessarabia,3,8,Pale,New Russia,0,7184,7446,48.3667,27.0833,1,Brichany,mestechko,,,7446,,Bessarabia,Khotin
Chepeliutsy,0308Cp1,Bessarabia,3,8,Pale,New Russia,0,163,1555,48.3,27.3,1,Chepeliutsy,selo,,,1555,,Bessarabia,Khotin
Edintsy,0308Ed1,Bessarabia,3,8,Pale,New Russia,0,7379,10211,48.1667,27.3,1,Edintsy,mestechko,,,10211,,Bessarabia,Khotin
Klishkovtsy,0308Kl1,Bessarabia,3,8,Pale,New Russia,0,1000,7707,48.4333,26.2667,1,Klishkovtsy,selo,,,7707,,Bessarabia,Khotin
Khotin,0308Kt1,Bessarabia,3,8,Pale,New Russia,0,9227,18398,48.4833,26.5,1,Khotin,Uezdnyi gorod,,,18398,,Bessarabia,Khotin
Lipkony,0308Lp1,Bessarabia,3,8,Pale,New Russia,0,4410,6865,48.2667,26.8,1,Lipkony,mestechko,,Different name in census but exactly the same population,6865,,Bessarabia,Khotin
Neporotovo,0308Np1,Bessarabia,3,8,Pale,New Russia,0,268,1631,48.6,27.28333,1,Neporotovo,selo,,,1631,,Bessarabia,Khotin
Novoselitsy,0308Nv1,Bessarabia,3,8,Pale,New Russia,0,3898,5891,48.45,26.9833,1,Novoselitsy,mestechko,,,5891,,Bessarabia,Khotin
Rzhavintsy,0308Rz1,Bessarabia,3,8,Pale,New Russia,0,369,2140,48.5,26.06667,1,Rzhavintsy,selo,,Different name in census but close by name and by other local countries mentioned in Jewish encyclopedy of Brokhauz and Efron,2140,,Bessarabia,Khotin
Sekuriany,0308Sk1,Bessarabia,3,8,Pale,New Russia,0,5042,8982,48.45,27.4167,1,Sekuriany,selo,,,8982,,Bessarabia,Khotin
Voloshkovo,0308Vl1,Bessarabia,3,8,Pale,New Russia,0,119,1050,48.46667,27.5,1,Voloshkovo,selo,,,1050,,Bessarabia,Khotin
Iaisa,04.Is1,Vilnius,,,Pale,Lithuania,1,,,55.4167,27.0833,0,Iaisa,,,Mentioned in Jewishgen but not in the census,,unknown,,
Antokol',0401An1,Vilnius,4,1,Pale,Lithuania,1,,,54.7,25.3167,0,Antokol',,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
Boguslavishki,0401Bg1,Vilnius,4,1,Pale,Lithuania,1,,,55.0833,24.7667,0,Boguslavishki,,,Mentioned in Jewishgen but not in the census,,unknown,Vilnius,Vilnius
