name,type,prov,dist,pale,region,jews,total,no_jews,full_name,lat,lon,census,jewish_flag,pop_flag,comments,index_sht
Bystritsa,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Bystritsa,54.8,25.8833,0,"",unknown,Mentioned in Jewishgen but not in the census,0401By1
Bezdany,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Bezdany,54.8,25.5333,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Bz1
Chabishki,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Chabishki,54.9667,24.65,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Cb1
Dubinki,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Dubinki,55.0667,25.45,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Db1
Gedroitsy,mestechko,Vilnius,Vilnius,Pale,Lithuania,357,548,0,Gedroitsy,55.0833,25.2833,1,"","","",0401Gd1
Gelvani,mestechko,Vilnius,Vilnius,Pale,Lithuania,374,523,0,Gelvani (Gel'vany),55.0667,24.7,1,"","","",0401Gl1
Inturki,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Inturki,55.1667,25.55,0,"",unknown,Mentioned in Jewishgen but not in the census,0401In1
Iashuny,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Iashuny,54.45,25.3333,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Is1
Kalvariskie snipishki,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Kalvariskie snipishki,54.6833,25.3167,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Kl1
Kernovo,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Kernovo,54.8833,24.85,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Kr1
Laibishki,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Laibishki,54.4833,25.5333,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Lb1
Mikhalishki,mestechko,Vilnius,Vilnius,Pale,Lithuania,951,1224,0,Mikhalishki,54.8167,26.1667,1,"","",#NAME?,0401Mk1
Maliaty,mestechko,Vilnius,Vilnius,Pale,Lithuania,1948,2397,0,Maliaty,55.2333,25.4167,1,"","","",0401Ml1
Meishagola,mestechko,Vilnius,Vilnius,Pale,Lithuania,109,920,0,Meishagola,54.8667,25.0667,1,"","","",0401Ms1
Musniki,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Musniki,54.95,24.85,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Ms2
Niemenchin,mestechko,Vilnius,Vilnius,Pale,Lithuania,639,886,0,Niemenchin (Niemchiny),54.85,25.4833,1,"","","",0401Nm1
Novo-Vileisk,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Novo-Vileisk,54.7,25.4167,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Nv1
Ostrovets,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Ostrovets,54.6167,25.9667,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Os1
Podberezy,mestechko,Vilnius,Vilnius,Pale,Lithuania,556,688,0,Podberezy (Podberez'e),54.9333,25.2333,1,"","","",0401Pd1
Peski,prigorod,Vilnius,Vilnius,Pale,Lithuania,197,1740,0,Peski,54.66667,25.26667,1,"","","",0401Ps1
Rudomino,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Rudomino,54.5833,25.35,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Rd1
Soltanishki,prigorod,Vilnius,Vilnius,Pale,Lithuania,413,1440,0,Soltanishki,54.7,25.25,1,"","","",0401Sl1
Shirvinty,mestechko,Vilnius,Vilnius,Pale,Lithuania,1413,1864,0,Shirvinty,55.05,24.95,1,"","","",0401Sr1
Shesholi,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Shesholi,55.1833,24.95,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Ss1
Tsekhanovishki,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Tsekhanovishki,54.7333,25.0833,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Ts1
Vil'na,Gubernskii gorod,Vilnius,Vilnius,Pale,Lithuania,63996,154532,0,Vil'na,54.6833,25.3167,1,"","","",0401Vl1
Vileika,selo,Vilnius,Vilnius,Pale,Lithuania,346,3350,0,Vileika,,,1,"","","",0401Vl2
Vorniany,"",Vilnius,Vilnius,Pale,Lithuania,,,1,Vorniany,54.7333,26.0167,0,"",unknown,Mentioned in Jewishgen but not in the census,0401Vr1
Zakret,Prigorod,Vilnius,Vilnius,Pale,Lithuania,170,1594,0,Zakret,54.68333,25.23333,1,"","","",0401Zk1
Budslav,"",Vilnius,Vileika,Pale,Lithuania,,,1,Budslav,54.7833,27.45,0,"",unknown,Mentioned in Jewishgen but not in the census,0402Bd1
Dolginov,mestechko,Vilnius,Vileika,Pale,Lithuania,2559,3551,0,Dolginov (Dolginovo),54.65,27.4833,1,"","","",0402Dl1
Dunilovichi,mestechko,Vilnius,Vileika,Pale,Lithuania,1553,1810,0,Dunilovichi,55.0667,27.2333,1,"","","",0402Dn1
Gorodok,mestechko,Vilnius,Vileika,Pale,Lithuania,1230,1603,0,Gorodok,54.15,26.9167,1,"","","",0402Gr1
Iliia,mestechko,Vilnius,Vileika,Pale,Lithuania,829,1431,0,Iliia (Il'ia),54.4167,27.3,1,"","","",0402Il1
Kraisk,mestechko,Vilnius,Vileika,Pale,Lithuania,549,629,0,Kraisk,54.5167,27.5,1,"","","",0402Kr1
Krasnoe,mestechko,Vilnius,Vileika,Pale,Lithuania,573,1077,0,Krasnoe,54.2333,27.0833,1,"","","",0402Kr2
Krivichi,mestechko,Vilnius,Vileika,Pale,Lithuania,457,520,0,Krivichi,54.7167,27.2833,1,"","","",0402Kr3
Kurenets,mestechko,Vilnius,Vileika,Pale,Lithuania,1613,1774,0,Kurenets,54.55,26.95,1,"","","",0402Kr4
Lebedev,mestechko,Vilnius,Vileika,Pale,Lithuania,1232,2275,0,Lebedev (Lebedevo),54.3167,26.7,1,"","","",0402Lb1
Molodechno,mestechko,Vilnius,Vileika,Pale,Lithuania,1105,2393,0,Molodechno,54.3167,26.85,1,"","","",0402Ml1
Nivki,"",Vilnius,Vileika,Pale,Lithuania,,,1,Nivki,54.65,27.1167,0,"",unknown,Mentioned in Jewishgen but not in the census,0402Nv1
Novyi Miadziol,mestechko,Vilnius,Vileika,Pale,Lithuania,436,1164,0,Novyi Miadziol (Novyi Miadel'),54.8667,26.9333,1,"","","",0402Nv2
Parafianovo,"",Vilnius,Vileika,Pale,Lithuania,,,1,Parafianovo,54.8833,27.6,0,"",unknown,Mentioned in Jewishgen but not in the census,0402Pr1
Radoshkovichi,zashtatnyi gorod,Vilnius,Vileika,Pale,Lithuania,1519,2615,0,Radoshkovichi,54.15,27.2333,1,"","","",0402Rd1
Vileika,Uezdnyi gorod,Vilnius,Vileika,Pale,Lithuania,1328,3560,0,Vileika,54.5,26.9167,1,"","","",0402Vl1
Volkolata,selo,Vilnius,Vileika,Pale,Lithuania,69,543,0,Volkolata,54.91667,27.36667,1,"","","",0402Vl2
