line_id,code,jg_id,name,enc_name,presence_type,year_code,upper_bound,lower_bound,mid_range,prov,dist,area,note,entry_source,ziv_yearcode,enc_page,lat,lon,display_name,osm_id,wikidata_id,name_he,name_sim,match_status
2026,VTB_RZH_VRKL,-3213892.0,Varkliany,VARAKLANI,community_founded,17LX,1800.0,1775.0,1775.0,Vitebsk,Riezhitsa,Pale,,Ziv,17LX,1374.0,56.6088743,26.7539093,"Varakļāni, Latvija",157088773.0,Q849141,ורקליאני,0.947,matched_db_api
2027,VLN_TRK_ORNY,-2620370.0,Orany,VARENA,jews_present,17MX,1775.0,1750.0,1750.0,Vilna,Troki,Pale,,Ziv,17MX,1375.0,54.2121764,24.5673724,"Varėna, Varėnos seniūnija, Alytaus apskritis, Lietuva",32441683.0,Q835843,וריאנה,1.0,matched_db_api
2028,KVN_TLS_VRN,-2620398.0,Vorni,VARNIAI,jews_arrived,16XX,1700.0,1600.0,1650.0,Kovno,Telshi,Pale,,Ziv,16EX,1376.0,55.7429028,22.3707318,"Kūjainiai, Varnių seniūnija, Telšių apskritis, Lietuva",1067350202.0,Q621181,,0.8,matched_db_api
2029,KHR_ODS_VRVR,-1057419.0,Varvarovka,VARVAROVKA,jews_arrived,18EX,1850.0,1800.0,1825.0,Kherson,Odessa,Pale,,Ziv,18EX,1377.0,46.99205,31.941372,"Варварівка, Центральний район, Миколаїв, Миколаївська міська громада, Миколаївський район, Миколаївська область, 54000, Україна",2416748.0,Q4103639,,1.0,matched_nominatim
2030,MNS_RCH_VSLV,-1951048.0,Vasilevichi,VASILEVICHI,jews_present,19XX,1897.0,1800.0,1850.0,Minsk,Riechitsa,Pale,,Ziv,18MX,1377.0,52.2505794,29.8283331,"Васілевічы, Рэчыцкі раён, Гомельская вобласць, Беларусь",242979086.0,Q955740,,1.0,matched_db_api
2031,TRD_MLT_VSLV,-1061631.0,Vasilevo,VASILEVKA,,,,,,Taurida,Melitopol,Pale,,Ziv,18LX,1377.0,47.4431859,35.2803026,"Василівка, Василівська міська громада, Василівський район, Запорізька область, 71622, Україна",337676690.0,Q712272,ואסיליבקה,0.824,matched_nominatim
2032,KIV_VSL_VSLK,-1057447.0,Vasilkov,VASILKOV,POP,1799,1799.0,1799.0,1799.0,Kiev,Vasilkov,Pale,,Ziv,1799,1377.0,50.178137,30.3175045,"Васильків, Київська область, Україна",337527490.0,Q997421,וסיליקוב,1.0,matched_db_api
2033,KVN_PNV_KNST,-2620415.0,Konstantinovo,VASKAI,jews_arrived,16XX,1700.0,1600.0,1650.0,Kovno,Poneviezh,Pale,,Ziv,16EX,695.0,56.1695943,24.2115179,"Vaškai, Vaškų seniūnija, Panevėžio apskritis, Lietuva",770159792.0,Q2375635,,0.8,matched_db_api
2034,KVN_SHV_VGR,-2620435.0,Vegeri,VEGERIAI,,,,,,Kovno,Shavli,Pale,,Ziv,18LX,1379.0,56.398368,22.946912,"Vegeriai, Naujosios Akmenės kaimiškoji seniūnija, Šiaulių apskritis, Lietuva",1130932151.0,Q12676774,,0.857,matched_db_api
2035,SWL_SNY_VS,-2620438.0,Veisee,VEISIEJAI,jews_arrived,17XX,1800.0,1700.0,1750.0,Suwalki,Seiny,Congress Poland,תנועה ציונית פעילה,Ziv,17EX,1379.0,54.1001849,23.6951523,"Veisiejai, Veisiejų seniūnija, Alytaus apskritis, Lietuva",1766106844.0,Q2044626,וייסיאי,0.923,matched_db_api
