id,name,name_he,viv,viv_code,powiat,sum_group,value,addition,addition_type,group,geocode,modern_name,lat,lon,galil,galil_id,wikidata,wikipedia,osm_id,text,is_child,parent_id
35,Trzciel,טשצ'ל,Poznan,WSC,Wschowsa,PZN_2,223,,,,WSC_TRZCIEL,"Trzciel, Międzyrzecz County, Lubusz Voivodeship, Poland",52.3648785,15.8730086,Great Poland,3,Q523287,pl:Trzciel,2881707,W mieście Trzciel Sy.,0,
36,Tuczno,טוצ׳נו,Poznan,WSC,Wschowsa,PZN_2,215,,,,WSC_TUCZNO,"Tuczno, Wałcz County, West Pomeranian Voivodeship, Poland",53.19462,16.155899,Great Poland,3,Q989973,pl:Tuczno,3069344,W mieście Tuczno Sy.,0,
37,Wałecz,וולץ',Poznan,WSC,Wschowsa,PZN_2,642,,,,WSC_WALCZ,"Wałcz, Wałcz County, West Pomeranian Voivodeship, Poland",53.2734739,16.4752847,Great Poland,3,Q935744,pl:Wałcz,2887592,W mieście mieście Wałecz Sy. z wsiami,0,
38,Wieluń,ויילון,Poznan,WSC,Wschowsa,PZN_2,686,,,,WSC_WIELUN,"Wieluń, Wieluń County, Łódź Voivodeship, Poland",51.2186,18.56892,Great Poland,3,Q101530,pl:Wieluń,1903950,W mieście Wieluń Sy.,0,
39,Wolsztyn,וולשטין,Poznan,WSC,Wschowsa,PZN_2,371,,,,WSC_WOLSZTYN,"Wolsztyn, Wolsztyn County, Greater Poland Voivodeship, Poland",52.1177088,16.1123378,Great Poland,3,Q852363,pl:Wolsztyn,2718479,W mieście Wolsztyn Sy.,0,
40,Wronki,ורונקי,Poznan,WSC,Wschowsa,PZN_2,483,,,,WSC_WRONKI,"Wronki, Szamotuły County, Greater Poland Voivodeship, Poland",52.7103395,16.3803948,Great Poland,3,Q11739792,pl:Klasztor Franciszkanów we Wronkach,430767368,W mieście Wronki Sy. z wsiami,0,
41,Wschowa,פרויזן,Poznan,WSC,Wschowsa,PZN_2,301,,,,WSC_WSCHOWA,"Wschowa, Wschowa County, Lubusz Voivodeship, Poland",51.8071084,16.3164767,Great Poland,3,Q717938,pl:Wschowa,3007162,W mieście Wschowa Sy.,0,
42,Zbąszyn,זבונשין,Poznan,WSC,Wschowsa,PZN_2,89,,,,WSC_ZBASZYN,"Zbąszyń, Nowy Tomyśl County, Greater Poland Voivodeship, Poland",52.25053,15.92527,Great Poland,3,Q168905,pl:Zbąszyń,2859430,W mieście Zbąszyn Sy.,0,
44,Kalisz,קאליש,Kalisz,KLS,Kaliski,KLS_1,702,,,,KLS_KALISZ,"Kalisz, Greater Poland Voivodeship, Poland",51.7672799,18.0853462,Great Poland,3,Q52842,,1793531748,Miasto Kalisz z parafiami,0,
45,Kozmin,קוזמין,Kalisz,KLS,Kaliski,KLS_1,271,,,,KLS_KOZMIN,"Koźmin Wielkopolski, Greater Poland Voivodeship, Poland",51.82709,17.45392,Great Poland,3,Q679745,pl:Koźmin Wielkopolski,2705295,Miasto Kozmin,0,
